Tåguppdrag,Datum_PAU,Tågslag,Tågsort,UppehållstypAvgång,UppehållstypAnkomst,AktivitetskodAvgång,AktivitetskodBeskrivningAvgång,AktivitetskodAnkomst,AktivitetskodBeskrivningAnkomst,DelSträckanummer,Förstaplatssignatur_för_Uppdrag,Sistaplatssignatur_för_Uppdrag,Avgångsplats,Avgångsplatssignatur,Ankomstplats,Ankomstplatssignatur,PlanAvgTid,PlanAnkTid,UtfAnkTid,UtfAvgTid,PlanAnkTid_vid_AvgPlats,UtfAnkTid_vid_AvgPlats,PlanUppehållstidAvgång,UtfUppehållstidAvgång,PlanGångtid,UtfGångtid,FörseningGångtid,AvgFörsening,AnkFörsening,FörseningUppehållAvgång
20.0,2019-03-04,RST,FJÄRR,Passage,Passage,0,-,0,-,5,Cst,Fln,Ulriksdal,Udl,Helenelund,Hel,2019-03-04 13:51:00.000,2019-03-04 13:52:00.000,2019-03-04 13:52:00.000,2019-03-04 13:50:00.000,2019-03-04 13:51:00.000,2019-03-04 13:50:00.000,0.0,0.0,1,2.0,1.0,-1.0,0.0,0.0
20.0,2019-03-20,RST,FJÄRR,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,31,Cst,Fln,Avesta Krylbo,Avky,Avesta Centrum,Acm,2019-03-20 15:21:00.000,2019-03-20 15:24:00.000,2019-03-20 15:25:00.000,2019-03-20 15:22:00.000,2019-03-20 15:19:00.000,2019-03-20 15:20:00.000,2.0,2.0,3,3.0,0.0,1.0,1.0,0.0
20.0,2019-03-22,RST,FJÄRR,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,31,Cst,Fln,Avesta Krylbo,Avky,Avesta Centrum,Acm,2019-03-22 15:21:00.000,2019-03-22 15:24:00.000,2019-03-22 15:25:00.000,2019-03-22 15:22:00.000,2019-03-22 15:19:00.000,2019-03-22 15:20:00.000,2.0,2.0,3,3.0,0.0,1.0,1.0,0.0
20.0,2019-03-26,RST,FJÄRR,Passage,Passage,0,-,0,-,3,Cst,Fln,Tomteboda övre,Tmö,Solna,So,2019-03-26 13:49:00.000,2019-03-26 13:50:00.000,2019-03-26 13:52:00.000,2019-03-26 13:50:00.000,2019-03-26 13:49:00.000,2019-03-26 13:50:00.000,0.0,0.0,1,2.0,1.0,1.0,2.0,0.0
20.0,2019-03-16,RST,FJÄRR,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,31,Cst,Fln,Avesta Krylbo,Avky,Avesta Centrum,Acm,2019-03-16 15:21:00.000,2019-03-16 15:24:00.000,2019-03-16 15:40:00.000,2019-03-16 15:36:00.000,2019-03-16 15:19:00.000,2019-03-16 15:35:00.000,2.0,1.0,3,4.0,1.0,15.0,16.0,-1.0
20.0,2019-03-20,RST,FJÄRR,Passage,Passage,0,-,0,-,5,Cst,Fln,Ulriksdal,Udl,Helenelund,Hel,2019-03-20 13:51:00.000,2019-03-20 13:52:00.000,2019-03-20 13:52:00.000,2019-03-20 13:50:00.000,2019-03-20 13:51:00.000,2019-03-20 13:50:00.000,0.0,0.0,1,2.0,1.0,-1.0,0.0,0.0
20.0,2019-03-16,RST,FJÄRR,Passage,Passage,0,-,0,-,5,Cst,Fln,Ulriksdal,Udl,Helenelund,Hel,2019-03-16 13:51:00.000,2019-03-16 13:52:00.000,2019-03-16 13:52:00.000,2019-03-16 13:50:00.000,2019-03-16 13:51:00.000,2019-03-16 13:50:00.000,0.0,0.0,1,2.0,1.0,-1.0,0.0,0.0
20.0,2019-03-30,RST,FJÄRR,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,31,Cst,Fln,Avesta Krylbo,Avky,Avesta Centrum,Acm,2019-03-30 15:21:00.000,2019-03-30 15:24:00.000,2019-03-30 15:23:00.000,2019-03-30 15:20:00.000,2019-03-30 15:19:00.000,2019-03-30 15:18:00.000,2.0,2.0,3,3.0,0.0,-1.0,-1.0,0.0
20.0,2019-03-01,RST,FJÄRR,Passage,Passage,0,-,0,-,26,Cst,Fln,Heby,Hy,Isätra,Ist,2019-03-01 14:50:00.000,2019-03-01 14:54:00.000,2019-03-01 14:55:00.000,2019-03-01 14:51:00.000,2019-03-01 14:50:00.000,2019-03-01 14:51:00.000,0.0,0.0,4,4.0,0.0,1.0,1.0,0.0
20.0,2019-03-29,RST,FJÄRR,Passage,Passage,0,-,0,-,26,Cst,Fln,Heby,Hy,Isätra,Ist,2019-03-29 14:50:00.000,2019-03-29 14:54:00.000,2019-03-29 14:55:00.000,2019-03-29 14:51:00.000,2019-03-29 14:50:00.000,2019-03-29 14:51:00.000,0.0,0.0,4,4.0,0.0,1.0,1.0,0.0
