,Morgongåva,Brunna,Falun,Ulriksdal,Tomteboda övre,Säter,Heby,Arlanda nedre,Stockholm C,Helenelund,Ekeby,Vikmanshyttan,Uppsala norra,Uppsala c,Broddbo,Solna,Avesta Krylbo,Kummelby,Avesta Centrum,Järlåsa,Rotebro,Säby,Snickarbo,Arlanda Central,Skavstaby,Häggvik,Sollentuna,Ornäs,Hinsnoret,Upplands Väsby,Blackvreten,Knivsta,Norrviken,Isätra,Sala,Rosshyttan,Gustafs,Myrbacken,Stora Tuna,Borlänge c,Karlberg,Hedemora
Norrviken,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0
Isätra,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,2,0,0,0.0,0,0,0.0,0
Sala,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,2,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0
Rosshyttan,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,2,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0
Gustafs,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2,0,0.0,0
Myrbacken,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0,0,0,0,0.0,0,0,0.0,0
Stora Tuna,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,2,0.0,0
Borlänge c,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0
Karlberg,0,0,0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0
Hedemora,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0
